id,name,type,level,description,difficulty,aliases,url,resource_type
l1-1,线性代数与概率基础,KnowledgePoint,L1,研究向量空间、线性变换、矩阵运算及其在随机变量、概率分布和统计推断中的应用的数学基础学科。,0.7,"矩阵与概率论,线性代数及概率统计基础,向量、矩阵与概率",,
l1-2,分类算法,KnowledgePoint,L1,分类算法是一类用于将数据样本映射到预定义类别标签的监督学习方法，其核心目标是通过学习输入特征与输出类别的映射关系，实现对未知样本的类别预测。,0.7,"分类模型,监督分类方法,判别模型",,
l1-3,机器学习基础,KnowledgePoint,L1,机器学习基础是指对机器学习的基本概念、主要算法类型及其应用框架的系统性介绍，涵盖监督学习、无监督学习和强化学习等核心范式，以及模型评估与选择的基本方法。,0.7,"机器学习概论,机器学习入门,机器学习核心概念",,
l1-4,生成模型,KnowledgePoint,L1,生成模型是一类通过学习数据分布并能够生成新样本的机器学习模型，其核心目标是模拟数据的潜在分布以合成符合该分布的新数据实例。,0.7,"生成式模型,生成性模型,生成网络",,
l1-5,优化算法,KnowledgePoint,L1,优化算法是指用于求解目标函数极值问题的一类计算方法，通过迭代或解析方式在可行域内寻找最优解，区别于一般算法的通用性，其核心在于目标函数与约束条件的数学建模及求解策略。,0.7,"最优化方法,优化技术,数值优化,算法优化",,
l1-6,注意力机制与自注意力模型,KnowledgePoint,L1,注意力机制是一种通过动态计算输入元素间相关性以加权聚合信息的模型结构，自注意力模型则进一步允许模型在相同输入序列内部建立依赖关系，实现对局部与全局语义的捕捉。,0.7,"注意力机制,自注意力机制,注意力模型",,
l1-7,计算机视觉,KnowledgePoint,L1,计算机视觉是研究如何使计算机模拟人类视觉系统，以感知、理解并解释图像或视频内容的学科，涵盖图像处理、特征提取、目标检测、场景理解等核心技术和应用。,0.7,"图像识别与视觉计算,视觉计算,计算机视觉与图像理解",,
l1-8,自然语言处理基础与应用,KnowledgePoint,L1,研究自然语言的结构、语义及生成机制，并探讨其在信息理解、文本生成、机器翻译等任务中的计算模型与应用方法的学科领域。,0.7,"NLP基础与实践,自然语言处理概论,NLP技术与应用",,
l1-9,深度学习概述与前沿,KnowledgePoint,L1,本主题系统阐述深度学习的基本原理、典型模型结构及其在当前研究与应用中的最新发展与趋势。,0.7,"深度学习基础与进展,深度学习核心与趋势,深度学习概论与研究方向",,
l1-10,神经网络基础,KnowledgePoint,L1,神经网络基础是研究人工神经网络的基本结构、工作原理及其训练机制的学科领域，涵盖感知机、多层前馈网络、激活函数、损失函数与反向传播等核心概念。,0.7,"神经网络概述,神经网络简介,神经网络原理",,
l1-11,循环神经网络与长短期记忆网络,KnowledgePoint,L1,循环神经网络（RNN）是一类用于处理序列数据的神经网络架构，通过引入时间步的循环连接来建模序列依赖；长短期记忆网络（LSTM）是RNN的一种改进形式，通过门控机制有效缓解长期依赖问题。,0.7,"RNN与LSTM,循环网络与LSTM模型,递归神经网络与长短期记忆",,
l1-12,卷积神经网络,KnowledgePoint,L1,一种通过局部感受野、权值共享和层次化特征提取机制，专门用于处理具有网格结构数据（如图像）的深度神经网络架构。,0.7,"卷积网络,CNN,卷积深度网络",,
l2_adagrad_algorithm,AdaGrad算法,KnowledgePoint,L2,一种自适应学习率优化算法，通过累加历史梯度的平方来动态调整每个参数的学习率，特别适用于稀疏特征场景。,中等,"Adaptive Gradient Algorithm,AdaGrad",,
l2_sparse_features_learning,稀疏特征和学习率,KnowledgePoint,L2,在自然语言处理等任务中，某些特征出现频率极低，导致其参数更新不足；传统全局学习率衰减策略对常见与稀疏特征不均衡，需采用自适应方法。,中等,"sparse features,learning rate for sparse features",,
l2_condition_number,条件数,KnowledgePoint,L2,优化问题中最大特征值与最小特征值的比值，用于衡量问题的病态程度；条件数越大，优化越困难。,中等,"condition number,κ",,
l2_diagonal_preconditioning,对角预处理,KnowledgePoint,L2,通过使用目标函数Hessian矩阵的对角元素进行缩放，以改善优化问题的条件数，是一种计算代价较低的近似预处理方法。,高,"diagonal preconditioning,diagonal scaling",,
