type,start_id,end_id,end_type
contains,l1-5,l2_adagrad_algorithm,L2
contains,l1-5,l2_sparse_features_learning,L2
contains,l1-5,l2_condition_number,L2
contains,l1-5,l2_diagonal_preconditioning,L2
contains,l1-5,l2_gradient_variance_as_hessian_proxy,L2
contains,l2_adagrad_algorithm,l3_adagrad_update_rule,L3
contains,l2_adagrad_algorithm,l3_per_coordinate_learning_rate,L3
contains,l2_adagrad_algorithm,l3_from_scratch_adagrad_implementation,L3
contains,l2_adagrad_algorithm,l3_concise_adagrad_implementation,L3
prerequisite,l2_sparse_features_learning,l2_adagrad_algorithm,L2
prerequisite,l2_condition_number,l2_diagonal_preconditioning,L2
prerequisite,l2_diagonal_preconditioning,l2_gradient_variance_as_hessian_proxy,L2
prerequisite,l2_gradient_variance_as_hessian_proxy,l2_adagrad_algorithm,L2
prerequisite,l3_adagrad_update_rule,l3_from_scratch_adagrad_implementation,L3
prerequisite,l3_adagrad_update_rule,l3_concise_adagrad_implementation,L3
contains,l1-5,l2_adam_algorithm,L2
contains,l1-5,l2_yogi_algorithm,L2
contains,l1-5,l2_exponential_weighted_moving_average,L2
contains,l1-5,l2_bias_correction,L2
contains,l2_adam_algorithm,l3_adam_update_rule,L3
contains,l2_adam_algorithm,l3_adam_initialization,L3
contains,l2_yogi_algorithm,l3_yogi_update_rule,L3
prerequisite,l2_exponential_weighted_moving_average,l2_adam_algorithm,L2
prerequisite,l2_bias_correction,l2_adam_algorithm,L2
prerequisite,l2_adam_algorithm,l2_yogi_algorithm,L2
prerequisite,l3_adam_initialization,l3_adam_update_rule,L3
contains,l1-5,l2_rmsprop_algorithm,L2
contains,l1-5,l2_leaky_average_of_squared_gradients,L2
contains,l1-5,l2_adaptive_learning_rate_per_coordinate,L2
contains,l2_rmsprop_algorithm,l3_rmsprop_update_rule,L3
contains,l2_rmsprop_algorithm,l3_rmsprop_from_scratch_implementation,L3
contains,l2_rmsprop_algorithm,l3_rmsprop_concise_implementation,L3
prerequisite,l2_leaky_average_of_squared_gradients,l2_rmsprop_algorithm,L2
prerequisite,l2_adaptive_learning_rate_per_coordinate,l2_rmsprop_algorithm,L2
prerequisite,l3_rmsprop_update_rule,l3_rmsprop_from_scratch_implementation,L3
prerequisite,l3_rmsprop_update_rule,l3_rmsprop_concise_implementation,L3
contains,l1-5,l2_loss_function,L2
contains,l1-5,l2_empirical_risk,L2
contains,l1-5,l2_risk,L2
contains,l1-5,l2_local_minimum,L2
contains,l1-5,l2_global_minimum,L2
contains,l1-5,l2_saddle_point,L2
contains,l1-5,l2_gradient_vanishing,L2
contains,l1-5,l2_hessian_matrix,L2
contains,l2_loss_function,l3_numerical_optimization,L3
contains,l2_loss_function,l3_minimization_by_negation,L3
contains,l2_local_minimum,l3_escape_local_minima_with_noise,L3
contains,l2_saddle_point,l3_hessian_eigenvalue_analysis,L3
prerequisite,l2_loss_function,l2_empirical_risk,L2
prerequisite,l2_loss_function,l2_risk,L2
prerequisite,l2_hessian_matrix,l3_hessian_eigenvalue_analysis,L3
prerequisite,l2_local_minimum,l2_global_minimum,L2
prerequisite,l2_gradient_vanishing,l3_escape_local_minima_with_noise,L3
contains,l1-5,l2_optimization_algorithms,L2
contains,l1-5,l2_non_convex_optimization,L2
contains,l1-5,l2_convex_optimization,L2
contains,l1-5,l2_stochastic_gradient_descent,L2
contains,l2_optimization_algorithms,l3_hyperparameter_tuning_for_optimizers,L3
contains,l2_stochastic_gradient_descent,l3_convergence_proof_for_sgd,L3
prerequisite,l2_convex_optimization,l2_non_convex_optimization,L2
prerequisite,l2_stochastic_gradient_descent,l3_convergence_proof_for_sgd,L3
has_resource,l1-5,res_lecture_optimization_algorithms,Resource
has_resource,l1-5,res_ppt_optimization_algorithms,Resource
has_resource,l1-5,res_video_optimization_algorithms,Resource
contains,l1-5,l2_convexity,L2
contains,l1-5,l2_convex_set,L2
contains,l1-5,l2_convex_function,L2
contains,l1-5,l2_jensens_inequality,L2
contains,l1-5,l2_local_minimum_is_global,L2
contains,l1-5,l2_sublevel_set_convexity,L2
contains,l1-5,l2_second_derivative_test,L2
contains,l1-5,l2_constrained_optimization,L2
contains,l1-5,l2_lagrangian_function,L2
contains,l1-5,l2_penalty_method,L2
contains,l1-5,l2_projection,L2
contains,l2_convexity,l2_convex_set,L2
contains,l2_convexity,l2_convex_function,L2
prerequisite,l2_convex_set,l2_convex_function,L2
prerequisite,l2_convex_function,l2_jensens_inequality,L2
prerequisite,l2_convex_function,l2_local_minimum_is_global,L2
prerequisite,l2_convex_function,l2_sublevel_set_convexity,L2
prerequisite,l2_second_derivative_test,l2_convex_function,L2
prerequisite,l2_convex_set,l2_projection,L2
prerequisite,l2_convex_function,l2_constrained_optimization,L2
prerequisite,l2_constrained_optimization,l2_lagrangian_function,L2
prerequisite,l2_lagrangian_function,l2_penalty_method,L2
contains,l2_projection,l3_project_gradient_to_l2_ball,L3
contains,l2_projection,l3_project_weights_to_l1_ball,L3
contains,l2_convex_set,l3_check_convexity_via_boundary_points,L3
contains,l2_convex_set,l3_verify_p_norm_ball_convexity,L3
contains,l2_convex_function,l3_prove_max_of_convex_functions_convex,L3
contains,l2_convex_function,l3_prove_softmax_log_sum_exp_convex,L3
contains,l1-5,l2_momentum_method,L2
contains,l1-5,l2_leaky_average,L2
contains,l1-5,l2_poorly_conditioned_optimization,L2
contains,l1-5,l2_convex_quadratic_function,L2
contains,l2_momentum_method,l3_momentum_update_rule,L3
contains,l2_momentum_method,l3_from_scratch_momentum_implementation,L3
contains,l2_momentum_method,l3_effective_sample_weight_analysis,L3
contains,l2_convex_quadratic_function,l3_eigenvalue_based_convergence_analysis,L3
prerequisite,l2_leaky_average,l2_momentum_method,L2
prerequisite,l2_poorly_conditioned_optimization,l2_momentum_method,L2
prerequisite,l2_convex_quadratic_function,l3_eigenvalue_based_convergence_analysis,L3
prerequisite,l3_momentum_update_rule,l3_from_scratch_momentum_implementation,L3
contains,l1-5,l2_learning_rate_scheduling,L2
contains,l1-5,l2_warmup_strategy,L2
contains,l1-5,l2_polynomial_decay,L2
contains,l1-5,l2_cosine_scheduler,L2
contains,l1-5,l2_piecewise_constant_scheduler,L2
contains,l1-5,l2_multiplicative_decay,L2
